tumors	patients	mock_pseudospace	tumors.1	patients.1	tgfb_pseudospace
LIHC	LIHC.TCGA.RC.A7SB.01A.21R.A352.07	48.8505684359336	LIHC	LIHC.TCGA.RC.A7SB.01A.21R.A352.07	42.2202543832343
LIHC	LIHC.TCGA.RC.A7SF.01A.11R.A352.07	47.3072837678857	LIHC	LIHC.TCGA.RC.A7SF.01A.11R.A352.07	41.7406021433384
LIHC	LIHC.TCGA.RC.A7SH.01A.11R.A38B.07	46.2126790891312	LIHC	LIHC.TCGA.RC.A7SH.01A.11R.A38B.07	41.7434604264882
LIHC	LIHC.TCGA.RC.A7SK.01A.11R.A352.07	48.0923637661926	LIHC	LIHC.TCGA.RC.A7SK.01A.11R.A352.07	43.8067323276035
STAD	STAD.TCGA.RD.A7BS.01A.11R.A32D.31	48.8746124554605	STAD	STAD.TCGA.RD.A7BS.01A.11R.A32D.31	42.1537705550121
STAD	STAD.TCGA.RD.A7BT.01A.11R.A33Y.31	54.5238579681101	STAD	STAD.TCGA.RD.A7BT.01A.11R.A33Y.31	83.6543503476958
STAD	STAD.TCGA.RD.A7C1.01A.11R.A32D.31	52.2974193298521	STAD	STAD.TCGA.RD.A7C1.01A.11R.A32D.31	51.7933473070894
STAD	STAD.TCGA.RD.A8MV.01A.11R.A36D.31	51.7024887726579	STAD	STAD.TCGA.RD.A8MV.01A.11R.A36D.31	52.8586539528804
STAD	STAD.TCGA.RD.A8N4.01A.21R.A36D.31	51.6362975184123	STAD	STAD.TCGA.RD.A8N4.01A.21R.A36D.31	52.8700461030013
STAD	STAD.TCGA.RD.A8N6.01A.11R.A36D.31	54.5747361526512	STAD	STAD.TCGA.RD.A8N6.01A.11R.A36D.31	67.2272252370678
STAD	STAD.TCGA.RD.A8N9.01A.12R.A39E.31	51.8162139992222	STAD	STAD.TCGA.RD.A8N9.01A.12R.A39E.31	54.7881814797858
ESCA	ESCA.TCGA.RE.A7BO.01A.11R.A336.31	53.3300117952553	ESCA	ESCA.TCGA.RE.A7BO.01A.11R.A336.31	63.870192784495
